companyName,aliases,country,city,diseaseFocus,productLine,productType,targetUsers,businessModel,reachabilityStatus,tier,totalScore,productProblemFit,aiProductLeverage,personalFit,outreachFeasibility,commercialSignal,aiProductOpportunity,personalFitReason,contactTargets,contactRoute,outreachOpening,productEvidenceUrl,reachabilityEvidenceUrl,restrictionReason,sourceTier,stage2OpportunityScore,stage2Categories
妙手医生,妙手; Miaoshou Doctor,CN,北京,platform_chronic_care; metabolic_cardiovascular,在线问诊、药品服务和患者管理,online_consultation_pharmacy_chronic_care,复诊购药、慢病用药、在线问诊用户,互联网医疗 + 药房/医药服务,china_local_reachable,C,74,20,21,15,12,6,复诊问诊 agent、慢病用药随访、药事咨询和患者教育自动化。,医学背景适合定义安全边界，agent 原型能力适合快速验证问诊和药事流程。,在线问诊产品、药事服务、患者管理、AI产品负责人,官网/产品负责人/药事服务和患者管理负责人,我想围绕复诊购药和慢病用药管理，讨论 AI agent 如何提升患者依从性并降低医生/药师重复沟通。,https://www.miaoshou.com/,https://www.miaoshou.com/,,curated,57,clinical_workflow; online_consultation; pharmacy_ecommerce
思派健康,Medbanks; 思派网络,CN,北京,platform_chronic_care; metabolic_cardiovascular,特药、患者管理和健康服务,specialty_pharmacy_patient_management,长期治疗、特药、慢病和肿瘤等患者管理人群,特药药房 + 患者管理 + 健康服务,china_local_reachable,C,74,20,21,15,12,6,长期治疗患者随访 agent、用药和不良反应记录、患者教育和护士/药师 copilot。,医学判断力和 agent 工作流可直接补强患者管理产品。,患者管理、药事服务、临床运营、AI产品负责人,官网/患者管理/药事服务/产品负责人,我想围绕长期治疗患者管理，讨论 AI agent 如何提升随访质量、风险识别和药事服务效率。,https://www.medbanks.cn/,https://www.medbanks.cn/,,curated,39,health_management_platform; patient_engagement; pharmacy_ecommerce
春雨医生,Chunyu Doctor,CN,北京,platform_chronic_care; mental_sleep_comorbidity,在线问诊和健康咨询,online_consultation,在线问诊、慢病复诊、健康咨询用户,互联网医疗平台,china_local_reachable,C,73,19,21,15,12,6,智能问诊前置、慢病复诊摘要、患者教育和心理/睡眠共病筛查。,平台型补充，适合主动提出 AI 慢病子产品。,问诊产品、AI产品、医生运营负责人,官网/产品负责人/医生运营,我想探讨在线问诊前后链路中，AI agent 如何服务慢病患者长期管理。,https://www.chunyuyisheng.com/,https://www.chunyuyisheng.com/,,curated,52,clinical_workflow; online_consultation
叮当快药,叮当健康,CN,北京,platform_chronic_care; metabolic_cardiovascular,医药即时零售和健康服务,pharmacy_ecommerce_chronic_care,长期用药、慢病复购、药事咨询用户,医药电商 + 到家服务 + 健康管理,china_local_reachable,C,72,19,20,15,12,6,慢病复购 agent、用药提醒和相互作用解释、药师 copilot、患者分层运营。,适合从产品经理角度切入药事服务和慢病运营。,药事服务、患者运营、产品增长、AI产品负责人,官网/用户增长/药事服务/产品负责人,我想把长期用药用户的复购、提醒、咨询和异常风险做成 AI agent 驱动的慢病管理闭环。,https://www.ddky.com/,https://www.ddky.com/,,curated,44,internet_healthcare; pharmacy_ecommerce
江西思维智光医疗科技有限公司,,CN,,mental_sleep_comorbidity,心理/精神健康相关医疗软件,mental_health_samd,心理健康/认知训练/精神健康相关人群,医疗软件/数字疗法候选,china_local_reachable,C,72,20,22,16,9,5,心理/睡眠共病 AI coach、症状量表解释、风险分层和医生 copilot。,作为心理/睡眠共病覆盖候选，适合后续验证。,产品、医学、注册/临床负责人,NMPA 主体线索/官网或工商补查,我关注慢痛常见的心理和睡眠共病，想讨论医疗软件如何引入安全可评估的 AI coach。,https://udi.nmpa.gov.cn/,https://udi.nmpa.gov.cn/,,curated,41,mental_health
健康160,就医160,CN,深圳,platform_chronic_care,预约挂号、互联网医院和患者服务,patient_access_internet_healthcare,复诊患者、慢病患者、医生和医院服务用户,互联网医疗平台,china_local_reachable,C,70,18,20,14,12,6,复诊路径 agent、慢病患者挂号/随访提醒、问诊准备和医生端摘要。,患者入口强，适合提出慢病 AI 子产品。,互联网医院产品、患者管理、医院合作、AI产品负责人,官网/医院合作/患者产品负责人,我想从复诊患者入口出发，讨论 AI agent 如何把预约、问诊准备、随访和慢病教育串起来。,https://www.91160.com/,https://www.91160.com/,,curated,43,internet_healthcare; samd
天津致远慧图科技有限公司,,CN,,chronic_pain_msk; metabolic_cardiovascular,chronic_disease_management; rehabilitation; remote_patient_monitoring; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,61,18,17,14,7,5,"AI pain/rehab coach, activity and pain diary, care team copilot.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕慢痛/康复长期管理，探讨 AI agent 如何提高依从性和服务规模。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697549021014420230320104547712,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697549021014420230320104547712,,stage2_auto,73,chronic_disease_management; rehabilitation; remote_patient_monitoring; samd
腾讯医疗健康（深圳）有限公司,,CN,深圳,mental_sleep_comorbidity; platform_chronic_care,clinical_workflow; mental_health; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,61,18,17,14,7,5,"AI coach for sleep/mental comorbidity, symptom tracking and safe escalation.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕睡眠/心理共病，探讨安全可评估的 AI coach 产品。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697541034009820250217120028629,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697541034009820250217120028629,,stage2_auto,63,clinical_workflow; mental_health; samd
英国雅培糖尿病护理公司,,CN,,metabolic_cardiovascular,chronic_disease_management; remote_patient_monitoring,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,61,18,17,14,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0502179100284920241010051926155,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0502179100284920241010051926155,,stage2_auto,63,chronic_disease_management; remote_patient_monitoring
云智康医疗科技（内蒙古）有限公司,,CN,,metabolic_cardiovascular; mental_sleep_comorbidity,remote_patient_monitoring; sleep_health,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,59,18,17,14,7,3,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=13ff18ac57eb4e89a3dee8cc6d094806,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=13ff18ac57eb4e89a3dee8cc6d094806,,stage2_auto,37,remote_patient_monitoring; sleep_health
伯乐实验有限公司,,CN,,metabolic_cardiovascular,chronic_disease_management; remote_patient_monitoring,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,59,18,17,14,7,3,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=036105223607342025092803570325,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=036105223607342025092803570325,,stage2_auto,46,chronic_disease_management; remote_patient_monitoring
北京新兴阳升科技有限公司,,CN,北京,metabolic_cardiovascular; mental_sleep_comorbidity,remote_patient_monitoring; sleep_health,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,59,18,17,14,7,3,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697568534000720230304082002422,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697568534000720230304082002422,,stage2_auto,38,remote_patient_monitoring; sleep_health
北京至真互联网技术有限公司,,CN,北京,metabolic_cardiovascular; platform_chronic_care,chronic_disease_management; clinical_workflow; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,59,18,17,14,7,3,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697508757001920221110021746316,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697508757001920221110021746316,,stage2_auto,64,chronic_disease_management; clinical_workflow; samd
北京致远慧图科技有限公司,,CN,北京,metabolic_cardiovascular; platform_chronic_care,chronic_disease_management; clinical_workflow; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,59,18,17,14,7,3,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697516973001020220120030704594,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697516973001020220120030704594,,stage2_auto,57,chronic_disease_management; clinical_workflow; samd
北京航天卡迪技术开发研究所,,CN,北京,metabolic_cardiovascular; mental_sleep_comorbidity,remote_patient_monitoring; sleep_health,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,59,18,17,14,7,3,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692066571720120251017011019242,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692066571720120251017011019242,,stage2_auto,38,remote_patient_monitoring; sleep_health
思澜科技（成都）有限公司,,CN,成都,metabolic_cardiovascular; mental_sleep_comorbidity,remote_patient_monitoring; sleep_health,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,59,18,17,14,7,3,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=4425365e8e2f450280940b64ac1c59dc,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=4425365e8e2f450280940b64ac1c59dc,,stage2_auto,40,remote_patient_monitoring; sleep_health
河南华南医电科技有限公司,,CN,,metabolic_cardiovascular; mental_sleep_comorbidity,remote_patient_monitoring; sleep_health,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,59,18,17,14,7,3,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697456412010520230131012921496,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697456412010520230131012921496,,stage2_auto,37,remote_patient_monitoring; sleep_health
苏州体素信息科技有限公司,,CN,,metabolic_cardiovascular; platform_chronic_care,chronic_disease_management; clinical_workflow; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,59,18,17,14,7,3,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697517062001020221026035231561,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697517062001020221026035231561,,stage2_auto,56,chronic_disease_management; clinical_workflow; samd
英国雅培糖尿病护理公司Abbott Diabetes Care Ltd.,,CN,,metabolic_cardiovascular,chronic_disease_management; remote_patient_monitoring,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,59,18,17,14,7,3,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=00093815713579202205260441100,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=00093815713579202205260441100,,stage2_auto,46,chronic_disease_management; remote_patient_monitoring
上海镜影信息科技有限公司,,CN,上海,metabolic_cardiovascular; platform_chronic_care,clinical_workflow; remote_patient_monitoring; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,58,18,17,11,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697755044001020260417012010264,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697755044001020260417012010264,,stage2_auto,66,clinical_workflow; remote_patient_monitoring; samd
北京品驰医疗设备股份有限公司,,CN,北京,metabolic_cardiovascular; platform_chronic_care,clinical_workflow; remote_patient_monitoring; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,58,18,17,11,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0695980960560920250409110149243,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0695980960560920250409110149243,,stage2_auto,68,clinical_workflow; remote_patient_monitoring; samd
华思（天津）医疗健康管理有限公司,,CN,,metabolic_cardiovascular; platform_chronic_care,health_management_platform; remote_patient_monitoring; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,58,18,17,11,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697452953104520250828052918072,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697452953104520250828052918072,,stage2_auto,65,health_management_platform; remote_patient_monitoring; samd
山东正心医疗科技有限公司,,CN,,metabolic_cardiovascular; platform_chronic_care,clinical_workflow; remote_patient_monitoring,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,58,18,17,11,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697246767051220240530041724743,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697246767051220240530041724743,,stage2_auto,60,clinical_workflow; remote_patient_monitoring
武汉兰丁智能医学股份有限公司,,CN,,metabolic_cardiovascular; platform_chronic_care,clinical_workflow; remote_patient_monitoring; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,58,18,17,11,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06975866142710202507090242481,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06975866142710202507090242481,,stage2_auto,72,clinical_workflow; remote_patient_monitoring; samd
深圳市保身欣科技电子有限公司,,CN,深圳,metabolic_cardiovascular,remote_patient_monitoring,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,58,18,17,11,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692048530807820260512095841386,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692048530807820260512095841386,,stage2_auto,49,remote_patient_monitoring
深圳市埃微医疗信息技术有限公司,,CN,深圳,metabolic_cardiovascular; platform_chronic_care,clinical_workflow; remote_patient_monitoring; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,58,18,17,11,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697996622005720260407052252779,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697996622005720260407052252779,,stage2_auto,67,clinical_workflow; remote_patient_monitoring; samd
深圳市安普康科技有限公司,,CN,深圳,metabolic_cardiovascular,remote_patient_monitoring,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,58,18,17,11,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0694672552335320260512092607521,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0694672552335320260512092607521,,stage2_auto,45,remote_patient_monitoring
深圳市理邦精密仪器股份有限公司,,CN,深圳,metabolic_cardiovascular; platform_chronic_care,clinical_workflow; remote_patient_monitoring; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,58,18,17,11,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=069444138319332023122702190811,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=069444138319332023122702190811,,stage2_auto,75,clinical_workflow; remote_patient_monitoring; samd
纳龙健康科技股份有限公司,,CN,,metabolic_cardiovascular,remote_patient_monitoring; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,58,18,17,11,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697614113017020260424042209895,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697614113017020260424042209895,,stage2_auto,61,remote_patient_monitoring; samd
长沙爱孕记医疗科技有限公司,,CN,,metabolic_cardiovascular,remote_patient_monitoring; samd,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,58,18,17,11,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=273c8003f6164690916f8a3fdc31996c,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=273c8003f6164690916f8a3fdc31996c,,stage2_auto,57,remote_patient_monitoring; samd
青岛远程科技有限公司,,CN,,metabolic_cardiovascular,remote_patient_monitoring,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,58,18,17,11,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697510300027820231010040328484,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697510300027820231010040328484,,stage2_auto,43,remote_patient_monitoring
"Abbott Diabetes Care, Inc.",Abbott Diabetes Care,US,Alameda,metabolic_cardiovascular,chronic_disease_management; remote_patient_monitoring,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,remote_unknown,D,57,18,17,14,3,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K060768,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K060768,global remote not confirmed under strict policy,stage2_auto,63,chronic_disease_management; remote_patient_monitoring
Livongo,Livongo Health; Teladoc Health chronic care,US,Mountain View,metabolic_cardiovascular; platform_chronic_care,chronic_disease_management; internet_healthcare; remote_patient_monitoring,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,remote_unknown,D,57,18,17,14,3,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,官网/产品页/公开联系方式,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://www.teladochealth.com/livongo,https://www.teladochealth.com/livongo,global remote not confirmed under strict policy,stage2_auto,69,chronic_disease_management; internet_healthcare; remote_patient_monitoring
"Teladoc Health, Inc.",Teladoc Health,US,Purchase,metabolic_cardiovascular; mental_sleep_comorbidity; platform_chronic_care,chronic_disease_management; internet_healthcare; mental_health; remote_patient_monitoring,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,remote_unknown,D,57,18,17,14,3,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,官网/产品页/公开联系方式,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://www.sec.gov/edgar/browse/?CIK=1477449,https://www.teladochealth.com/,global remote not confirmed under strict policy,stage2_auto,79,chronic_disease_management; internet_healthcare; mental_health; remote_patient_monitoring
中山瑞福医疗器械科技有限公司,,CN,,metabolic_cardiovascular,chronic_disease_management,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,57,18,13,14,7,5,"AI chronic disease coach, risk stratification, medication and lifestyle follow-up.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕代谢/心血管慢病管理，探讨 AI coach 和医生 copilot 的产品机会。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=ca378ffe533249bca57eb24c4317f7e3,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=ca378ffe533249bca57eb24c4317f7e3,,stage2_auto,40,chronic_disease_management
内特斯医疗系统DBA艾泰克有限公司,,CN,,mental_sleep_comorbidity,sleep_health,stage2_auto_candidate,慢病/康复/远程监测/平台用户，需进一步核验,stage2 inferred,china_local_reachable,D,57,18,13,14,7,5,"AI coach for sleep/mental comorbidity, symptom tracking and safe escalation.",Stage 2 自动召回候选，适合后续人工核验证据和主动联系入口。,产品负责人、医学负责人、业务负责人,工商/监管主体线索，需补官网,我想围绕睡眠/心理共病，探讨安全可评估的 AI coach 产品。,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=00382830027298202208310434215,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=00382830027298202208310434215,,stage2_auto,29,sleep_health
